#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.0.102
#tb 0: 333333/10000000
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 1280x720
#sar 0: 0/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,  1843200, 06e4428e7080f30121c7480b443a9286
0,          1,          1,        1,  1843200, 6069b1af7ebeb3b92dfb060896089370
0,          2,          2,        1,  1843200, a46917cd7b0f2195cb2266a071359660
0,          3,          3,        1,  1843200, dca4d9878f253aec700189285eb01bc0
0,          4,          4,        1,  1843200, 87a202519a2c6ed2fdcbe6985a1d91f0
0,          5,          5,        1,  1843200, 83ee7b90d7a5cc3d6ff33f0cd4ca108c
0,          6,          6,        1,  1843200, 99cd379fcfe6d3c8af2346e7a75f7d3a
0,          7,          7,        1,  1843200, bb1b2d15592b15983359634ed80b4bd8
0,          8,          8,        1,  1843200, 7630a9e2eebd004403cf006952d1fe9b
0,          9,          9,        1,  1843200, e655ceb18d208f96c62b68e3c3b0946d
0,         10,         10,        1,  1843200, fcf315e7b043ee7be1a12847dc72a2a9
0,         11,         11,        1,  1843200, 1a1f24065db3e0fdf347f9e704c12838
0,         12,         12,        1,  1843200, 90bae1bb005257bd551171f6356935ba
0,         13,         13,        1,  1843200, 0fb7628dd83dc054fcb74f7d931d5848
0,         14,         14,        1,  1843200, e2a39b6db3e4a6413e47379ac9d0966b
0,         15,         15,        1,  1843200, 2a79d4832ae7e61c5736c536241ed837
0,         16,         16,        1,  1843200, a038b8325722bc1dc24969202dd0e0ec
0,         17,         17,        1,  1843200, 141967ea67e69e1c16251d273a5270b0
0,         18,         18,        1,  1843200, c7c32feef6c656c9fbdd4ef5c21f961a
0,         19,         19,        1,  1843200, d221be84713ac8e0c3c182148c261d87
0,         20,         20,        1,  1843200, 91ce5a80aff120d1211bb837e6ed7f6e
0,         21,         21,        1,  1843200, 8c5efb59382bc48d84833e3cb4d4efd4
0,         22,         22,        1,  1843200, a2ed8aa5e9faa0bec63eacb2be4ad60b
0,         23,         23,        1,  1843200, c5929102c9562185ccefe6d7da1729df
0,         24,         24,        1,  1843200, e94efc66d996d720edb01be46dc08381
0,         25,         25,        1,  1843200, 596d2ab7fc3df8e62bc04b1aa3a9b0ec
0,         26,         26,        1,  1843200, 7d0cb64183f0efe0adcb41ef754f1376
0,         27,         27,        1,  1843200, 9035e3e42d735f925f65fba8ccc3bbe2
0,         28,         28,        1,  1843200, dc335f13f1e28f72a2065fa0afd3b1c4
0,         29,         29,        1,  1843200, 4f58744690fdcc2838115727792e978e
0,         30,         30,        1,  1843200, 944f2cfff6221f11fdd1dd81e5752bbd
0,         31,         31,        1,  1843200, 59cc24a167531b5ea34c6c5b6077f123
0,         32,         32,        1,  1843200, b6f4462c73c74e75b8b1de419117ab82
0,         33,         33,        1,  1843200, de9da226d8090979a2f2afeaf7044444
0,         34,         34,        1,  1843200, 713f18b2a840fec52cc0c855456c13df
